name,iso_code
Albania,8
Algeria,12
Armenia,51
Azerbaijan,31
Bangladesh,50
Barbados,52
Belarus,112
Belgium,56
Belize,84
Benin,204
Bhutan,64
Bolivia (Plurinational State of),68
Bosnia and Herzegovina,70
Botswana,72
Brazil,76
Bulgaria,100
Burkina Faso,854
Burundi,108
Cabo Verde,132
Cambodia,116
Cameroon,120
Central African Republic,140
Chad,148
China,156
Colombia,170
Comoros,174
Congo,178
Costa Rica,188
C̫te d'Ivoire,384
Cuba,192
Czech Republic,203
Democratic People's Republic of Korea,408
Democratic Republic of the Congo,180
Dominican Republic,214
Ecuador,218
Egypt,818
El Salvador,222
Equatorial Guinea,226
Eritrea,232
Ethiopia,231
France,250
Gabon,266
Gambia,270
Georgia,268
Ghana,288
Guatemala,320
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Honduras,340
Hungary,348
India,356
Indonesia,360
Iran (Islamic Republic of),364
Iraq,368
Italy,380
Jamaica,388
Jordan,400
Kazakhstan,398
Kenya,404
Kiribati,296
Kyrgyzstan,417
Lao People's Democratic Republic,418
Latvia,428
Lesotho,426
Liberia,430
Libya,434
Lithuania,440
Madagascar,450
Malawi,454
Maldives,462
Mali,466
Marshall Islands,584
Mauritania,478
Mauritius,480
Mexico,484
Mongolia,496
Montenegro ,499
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nauru,520
Nepal,524
Nicaragua,558
Niger,562
Nigeria,566
Oman,512
Pakistan,586
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Philippines,608
Puerto Rico,630
Qatar,634
Republic of Moldova,498
Romania,642
Russian Federation,643
Rwanda,646
Saint Lucia,662
Samoa,882
Sao Tome and Principe,678
Senegal,686
Serbia,688
Sierra Leone,694
Slovenia,705
Solomon Islands,90
South Africa,710
South Sudan,728
Spain,724
Sri Lanka,144
State of Palestine,275
Sudan,729
Suriname,740
Swaziland,748
Syrian Arab Republic,760
Tajikistan,762
Thailand,764
The former Yugoslav Republic of Macedonia,807
Timor-Leste,626
Togo,768
Tonga,776
Trinidad and Tobago,780
Tunisia,788
Turkey,792
Turkmenistan,795
Tuvalu,798
Uganda,800
Ukraine,804
United Republic of Tanzania,834
United States of America,840
Uzbekistan,860
Vanuatu,548
Venezuela (Bolivarian Republic of),862
Viet Nam,704
Yemen,887
Zambia,894
Zimbabwe,716
